CMS Certification Number (CCN),Facility Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Urban,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date,EVS_Citation_Count,Dietary_Citation_Count,hk_direct,hk_contract,diet_direct,diet_contract,Overall_Rating,Health_Inspection_Rating,HOT_HOT_EVS,HOT_HOT_Dietary,Priority_Sort,Region
275156,SOUTHWEST MONTANA VETERANS HOME,65 VETERANS CIRCLE,BUTTE,MT,59701,4067923100,460,Silver Bow,N,For profit - Limited Liability company,60,57.3,,Medicare and Medicaid,N,BUTTE NURSING AND REHAB CENTER LLC,2021-08-06,EDURO HEALTHCARE,193,34,2.4,2.4,2.2,3.1,N,,N,N,N,Both,Partial,5,,4,,4,,4,,,2,5,,,,2.13682,0.71295,1.49493,2.20788,4.34470,3.81493,0.92918,0.04017,53.9,,50.0,,0,,1.07188,0.75920,1.75938,0.65190,0.52030,2.93157,2.59889,2.79448,0.93237,1.95503,5.68189,4.98907,2025-06-19,9,9,0,48,1,0,48,2024-06-06,3,3,1,12,1,0,12,39.000,,0,0.00,0,0,"65 VETERANS CIRCLE,BUTTE,MT,59701",45.9467,-112.52,22,2026-08-01,0,0,199605.0,21332.0,371353.0,230072.0,2.4,2.4,No,No,2,Mountain West
295081,NEVADA STATE VETERANS HOME - BOULDER CITY,100 VETERANS MEMORIAL DR,BOULDER CITY,NV,89005,7023326711,010,Clark,Y,Government - State,180,167.7,,Medicare and Medicaid,N,STATE OF NEVADA,2002-09-24,,,,,,,,N,,N,N,N,Both,Yes,5,,4,,5,,5,,,2,3,,,,2.34864,0.80687,0.83607,1.64295,3.99159,3.61098,0.62917,0.02603,,26,,26,,26,1.13062,0.80081,1.85580,0.68762,0.54881,3.09223,2.74131,2.91192,1.00039,1.03659,4.94889,4.47700,2026-02-13,3,3,0,12,1,0,12,2024-12-06,12,9,4,64,1,0,64,25.000,,1,10358.00,0,1,"100 VETERANS MEMORIAL DR,BOULDER CITY,NV,89005",35.9702,-114.87,,2026-08-01,0,0,,777529.0,64573.0,1940871.0,,,No,No,2,Mountain West
295105,NORTHERN NEVADA STATE VETERANS HOME,36 BATTLEBORN WAY,SPARKS,NV,89431,7635375700,150,Washoe,Y,For profit - Corporation,96,93.3,,Medicare and Medicaid,N,DIMENSIONS MANAGEMENT OF NORTHERN NEVADA LLC,2019-07-03,HEALTH DIMENSIONS GROUP,821,10,3.2,2.8,4.0,3.7,N,,Y,N,N,Both,Yes,4,,2,,5,,5,,,2,5,,,,3.36760,0.98543,1.02163,2.00706,5.37466,5.05160,0.69514,0.05298,51.9,,46.9,,1,,1.15468,0.81785,1.89528,0.70225,0.56048,3.15802,2.79964,4.08827,1.19631,1.24026,6.52485,6.13265,2026-04-02,9,9,1,32,1,0,32,2025-03-13,25,11,14,100,1,0,100,49.000,,0,0.00,0,0,"36 BATTLEBORN WAY,SPARKS,NV,89431",39.5481,-119.73,22,2026-08-01,0,0,43847.0,7887.0,73995.0,52882.0,3.2,2.8,No,No,2,Mountain West
315346,NEW JERSEY VETERANS MEMORIAL HOME AT PARAMUS,1 VETERANS DRIVE,PARAMUS,NJ,07652,2016348212,100,Bergen,Y,Government - State,336,206.0,,Medicare,N,STATE OF NEW JERSEY OMB CENTRALIZED PAYROLL,1995-06-22,,,,,,,,N,,N,N,N,Both,Yes,5,,5,,3,,3,,,2,5,,,,3.55634,0.86677,1.34274,2.20952,5.76586,5.22457,0.93987,0.05135,22.0,,14.5,,1,,1.27241,0.90123,2.08852,0.77386,0.61763,3.48001,3.08509,3.91793,0.95490,1.47927,6.35210,5.75578,2025-04-04,6,4,2,24,1,0,24,2023-01-23,0,0,0,0,0,0,0,18.000,0,0,0.00,0,0,"1 VETERANS DRIVE,PARAMUS,NJ,07652",40.959,-74.063,,2026-08-01,0,0,1899319.0,22212.0,3089198.0,1715145.0,,,No,No,2,Northeast
315459,NEW JERSEY VETERANS MEMORIAL HOME MENLO,132 EVERGREEN RD,EDISON,NJ,08818,7324524100,270,Middlesex,Y,Government - State,328,185.7,,Medicare,N,NEW JERSEY VETERANS MEMORIAL HOME MENLO PARK,1999-10-26,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,3,,3,,3,,5,,,,3.49542,1.39342,1.13267,2.52609,6.02151,5.79824,0.91245,0.03509,17.0,,24.2,,1,,1.22849,0.87013,2.01644,0.74715,0.59631,3.35990,2.97860,3.98848,1.58998,1.29244,6.87090,6.61613,2025-09-05,9,9,0,36,1,0,36,2024-07-16,0,0,0,0,0,0,0,27.000,0,0,0.00,0,0,"132 EVERGREEN RD,EDISON,NJ,08818",40.5528,-74.332,,2026-08-01,0,0,1822228.0,758947.0,2413363.0,1566057.0,,,No,No,2,Northeast
315496,NEW JERSEY VETERANS MEMORIAL VINELAND,524 NORTH WEST BLVD,VINELAND,NJ,08360,8564054207,190,Cumberland,Y,Government - State,300,232.2,,Medicare,N,NEW JERSEY MEMORIAL HOME MEMBER'S FUND,2006-05-01,,,,,,,,N,,N,N,N,Both,Yes,3,,2,,3,,4,,3,,5,,,,3.11723,1.19208,0.81659,2.00867,5.12591,4.26589,0.49566,0.02349,32.9,,41.4,,0,,1.11371,0.78883,1.82805,0.67734,0.54060,3.04599,2.70032,3.92351,1.50042,1.02780,6.45173,5.36926,2025-09-19,2,0,2,79,0,0,79,2024-08-30,2,2,0,20,1,0,20,64.250,0,0,0.00,0,0,"524 NORTH WEST BLVD,VINELAND,NJ,08360",39.497,-75.025,,2026-08-01,0,0,2164263.0,1400018.0,3252631.0,1760542.0,,,No,No,2,Northeast
325092,New Mexico State Veterans Home,992 South Broadway,Truth or Consequences,NM,87901,5758944200,250,Sierra,N,Government - State,131,125.9,,Medicare and Medicaid,N,STATE OF NEW MEXICO,1994-01-25,,,,,,,,N,,N,N,N,Resident,Yes,3,,3,,3,,3,,,2,3,,,,4.46645,1.03058,0.52515,1.55573,6.02218,5.49810,0.33669,0.09397,84.1,,66.7,,0,,1.31847,0.93386,2.16413,0.80187,0.63999,3.60600,3.19678,4.74866,1.09570,0.55833,6.40269,5.84549,2026-05-14,22,22,1,140,1,0,140,2024-12-27,20,12,9,136,1,0,136,139.000,,1,44226.00,0,1,"992 South Broadway,Truth or Consequences,NM,87901",33.1227,-107.26,,2026-08-01,0,0,,,,,,,No,No,4,Mountain West
335097,N Y S VETERANS HOME,4211 STATE HIGHWAY 220,OXFORD,NY,13830,6078433100,080,Chenango,N,Government - State,242,210.2,,Medicare and Medicaid,N,STATE OF NEW YORK COMPTROLLERS OFFICE,1967-01-01,STATE OF NEW YORK COMPTROLLER'S OFFICE,489,7,4.3,4.1,4.3,3.9,N,,N,N,N,Both,Yes,4,,4,,3,,5,,2,,2,,,,2.20575,0.69482,0.67323,1.36806,3.57381,2.91771,0.38273,0.04843,,26,,26,,26,1.20836,0.85587,1.98339,0.73490,0.58654,3.30484,2.92979,2.55882,0.80604,0.78100,4.14586,3.38475,2025-05-16,2,2,0,8,1,0,8,2023-10-06,3,2,2,24,1,0,24,12.000,,0,0.00,0,0,"4211 STATE HIGHWAY 220,OXFORD,NY,13830",42.4528,-75.607,,2026-08-01,0,0,674431.0,483554.0,1683793.0,1350095.0,4.3,4.1,No,No,2,Northeast
335289,Soldiers and Sailors Memorial Hospital Extended Ca,418 North Main Street,Penn Yan,NY,14527,3155312730,910,Yates,N,Non profit - Other,152,134.4,,Medicare and Medicaid,N,SOLDIERS & SAILORS MEMORIAL HOSPITAL,1969-06-15,,,,,,,,N,,N,N,N,Resident,Yes,1,,1,,2,,2,,,2,3,,,,2.22853,0.88174,0.45580,1.33754,3.56607,3.20241,0.24755,0.31280,68.3,,66.7,,0,,1.23983,0.87816,2.03506,0.75405,0.60182,3.39093,3.00611,2.51962,0.99691,0.51533,4.03186,3.62070,2024-11-04,6,6,2,149,1,0,149,2022-09-30,4,4,0,4,1,0,4,112.750,,1,21733.00,0,1,"418 North Main Street,Penn Yan,NY,14527",42.6707,-77.06,,2026-08-01,0,0,,,,,,,No,No,4,Northeast
335758,Long Island State Veterans Home,100 Patriots Road,Stonybrook,NY,11790,6314448500,700,Suffolk,Y,Government - State,350,310.4,,Medicare and Medicaid,N,STATE OF NEW YORK COMPTROLLERS OFFICE,1992-04-23,STATE OF NEW YORK COMPTROLLER'S OFFICE,489,7,4.3,4.1,4.3,3.9,N,,N,N,N,Both,Yes,5,,5,,2,,4,,1,,5,,,,2.75212,0.66529,1.23739,1.90268,4.65480,4.16029,0.86921,0.08040,24.8,,17.8,,0,,1.40925,0.99816,2.31314,0.85708,0.68406,3.85428,3.41688,2.73753,0.66176,1.23083,4.63012,4.13822,2025-03-11,2,2,0,4,1,0,4,2023-09-01,1,1,0,4,1,0,4,4.000,,0,0.00,0,0,"100 Patriots Road,Stonybrook,NY,11790",40.9065,-73.111,,2026-08-01,0,0,1819705.0,467845.0,46919.0,6703392.0,4.3,4.1,No,No,2,Northeast
335770,NYS Veterans Home in NYC,178-50 Linden Boulevard,Jamaica,NY,11434,7189900329,590,Queens,Y,Government - State,250,216.5,,Medicare and Medicaid,N,STATE OF NEW YORK COMPTROLLERS OFFICE,1994-01-13,STATE OF NEW YORK COMPTROLLER'S OFFICE,489,7,4.3,4.1,4.3,3.9,N,,N,Y,N,Resident,Yes,4,,4,,4,,5,,3,,4,,,,2.84461,0.81990,0.66194,1.48183,4.32644,3.53478,0.42312,0.08758,32.6,,41.4,,,26,1.21027,0.85722,1.98654,0.73607,0.58747,3.31007,2.93444,3.29472,0.94963,0.76668,5.01103,4.09409,2024-05-16,4,3,1,20,1,0,20,2022-04-21,6,1,5,28,1,0,28,22.000,,0,0.00,0,0,"178-50 Linden Boulevard,Jamaica,NY,11434",40.6927,-73.77,,2026-08-01,0,0,1267442.0,411902.0,1452938.0,1717854.0,4.3,4.1,No,No,2,Northeast
335788,Western New York State Veterans Home,220 Richmond Avenue,Batavia,NY,14020,5853452000,290,Genesee,N,Government - State,126,121.0,,Medicare and Medicaid,N,STATE OF NEW YORK COMPTROLLERS OFFICE,1995-08-30,STATE OF NEW YORK COMPTROLLER'S OFFICE,489,7,4.3,4.1,4.3,3.9,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,,2,4,,,,2.19103,0.69544,0.71521,1.41065,3.60168,3.20828,0.39987,0.04450,49.6,,58.3,,,26,1.21146,0.85807,1.98849,0.73679,0.58805,3.31333,2.93732,2.53523,0.80469,0.82757,4.16749,3.71229,2026-01-30,0,0,0,0,0,0,0,2023-11-17,2,1,1,4,1,0,4,1.000,,0,0.00,0,0,"220 Richmond Avenue,Batavia,NY,14020",43.0091,-78.198,,2026-08-01,0,0,,,,,4.3,4.1,No,No,4,Northeast
335832,New York State Veterans Home At Montrose,2090 Albany Post Road,Montrose,NY,10548,9147886000,800,Westchester,Y,Government - State,252,200.6,,Medicare,N,STATE OF NEW YORK COMPTROLLERS OFFICE,2001-10-05,STATE OF NEW YORK COMPTROLLER'S OFFICE,489,7,4.3,4.1,4.3,3.9,N,,Y,Y,N,Both,Yes,2,,1,,3,,2,,3,,5,,,,2.40008,0.38936,1.15955,1.54891,3.94899,3.38326,0.85853,0.02929,26.5,,27.8,,,26,1.21573,0.86109,1.99549,0.73939,0.59012,3.32500,2.94767,2.76737,0.44895,1.33700,4.55332,3.90102,2023-07-27,12,8,4,80,1,0,80,2019-06-22,9,2,7,72,1,0,72,78.000,,1,29153.00,0,1,"2090 Albany Post Road,Montrose,NY,10548",41.2448,-73.926,,2026-08-01,0,0,1393956.0,267867.0,1689949.0,1491014.0,4.3,4.1,No,No,2,Northeast
345531,NC State Veterans Home - Salisbury,"1601 Brenner Ave., Building #10",Salisbury,NC,28145,7046384200,790,Rowan,Y,Government - State,99,83.2,,Medicare and Medicaid,N,NC DEPT OF MILITARY AND VETERANS AFFAIRS NC DIVISION OF VETER AFFAIRS,2004-11-22,,,,,,,,N,,N,N,N,Resident,Yes,4,,2,,5,,5,,,2,5,,,,2.79986,0.84669,1.14327,1.98996,4.78982,3.81342,0.52670,0.00000,43.9,,14.3,,0,,1.34883,0.95536,2.21396,0.82033,0.65473,3.68902,3.27038,2.90977,0.87993,1.18815,4.97785,3.96312,2025-12-12,12,12,1,86,1,0,86,2024-08-08,3,3,0,16,1,0,16,68.500,,1,12444.00,0,1,"1601 Brenner Ave., Building #10,Salisbury,NC,28145",35.6613,-80.447,22,2026-08-01,0,0,605516.0,49349.0,851751.0,442891.0,,,No,No,2,Southeast
345558,NC State Veterans Home - Black Mountain,62 Lake Eden Road,Black Mountain,NC,28711,8282576800,100,Buncombe,Y,For profit - Corporation,100,82.3,,Medicare and Medicaid,N,NC DEPT OF MILTARY AND VETERANS AFFAIRS NC DIVISION OF VETERAN AFF,2013-02-20,PRUITTHEALTH,434,95,2.9,2.8,2.5,3.6,N,,N,N,N,Resident,Yes,5,,3,,5,,5,,,2,5,,,,3.20329,0.76353,1.46484,2.22837,5.43167,4.32615,0.82580,0.04480,45.3,,44.0,,2,,1.33519,0.94570,2.19158,0.81204,0.64811,3.65173,3.23732,3.36304,0.80161,1.53789,5.70255,4.54190,2025-12-04,2,2,0,12,1,0,12,2024-09-05,9,8,3,60,1,0,60,24.000,0,1,12759.00,0,1,"62 Lake Eden Road,Black Mountain,NC,28711",35.6177,-82.371,,2026-08-01,0,0,552938.0,106845.0,623985.0,389064.0,2.9,2.8,No,No,2,Southeast
345560,NC State Veterans Home-Kinston,2150 Hull Road,Kinston,NC,28504,2529398000,530,Lenoir,N,Government - State,100,91.5,,Medicare and Medicaid,N,NC DEPARTMENT OF MILITARY AND VETERAN AFFAIRS NC DIVISION OF VET,2013-08-08,PRUITTHEALTH,434,95,2.9,2.8,2.5,3.6,N,,N,N,N,Resident,Yes,2,,2,,3,,4,,1,,4,,,,3.43440,0.70896,0.89366,1.60263,5.03702,4.21263,0.67024,0.03180,37.9,,48.1,,,26,1.22289,0.86616,2.00724,0.74374,0.59359,3.34458,2.96502,3.93680,0.81267,1.02439,5.77386,4.82888,2025-11-14,0,0,0,0,0,0,0,2024-08-22,10,2,8,233,1,0,233,58.250,,5,74987.00,0,5,"2150 Hull Road,Kinston,NC,28504",35.2847,-77.623,,2026-08-01,0,0,1023831.0,92015.0,765172.0,594406.0,2.9,2.8,No,No,2,Southeast
345579,North Carolina State Veterans Home Kernersville,1795 Kernersville Medical Parkway,Kernersville,NC,27284,7432093042,330,Forsyth,Y,Government - State,120,58.0,,Medicare and Medicaid,N,NC DEPT OF MILITARY AND VETERANS AFFAIRS,2024-08-22,PRUITTHEALTH,434,95,2.9,2.8,2.5,3.6,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,4,,,,4.18558,1.85270,1.18999,3.04269,7.22827,6.24218,0.86426,0.00000,,26,,26,,26,1.30509,0.92438,2.14217,0.79373,0.63350,3.56940,3.16433,4.49567,1.98996,1.27815,7.76378,6.70463,2025-12-05,0,0,0,0,0,0,0,2024-08-22,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"1795 Kernersville Medical Parkway,Kernersville,NC,27284",36.1163,-80.092,22,2026-08-01,0,0,,,,,2.9,2.8,No,No,4,Southeast
355114,NORTH DAKOTA VETERANS HOME,1600 VETERANS DRIVE,LISBON,ND,58054,7016836500,360,Ransom,N,Government - State,52,49.6,,Medicare and Medicaid,N,NORTH DAKOTA VETERANS HOME,1991-12-02,,,,,,,,N,,N,N,N,,Yes,5,,5,,4,,4,,,2,5,,,,3.44598,0.10873,1.51542,1.62414,5.07012,4.54151,1.06505,0.00319,32.9,,29.4,,0,,1.05169,0.74490,1.72624,0.63962,0.51049,2.87635,2.54993,4.59308,0.14492,2.01987,6.75787,6.05329,2025-08-06,0,0,0,0,0,0,0,2024-06-27,3,2,1,28,1,0,28,7.000,,1,9620.00,0,1,"1600 VETERANS DRIVE,LISBON,ND,58054",46.4153,-97.653,22,2026-08-01,0,0,227080.0,65754.0,796223.0,543082.0,,,No,No,2,Midwest
366325,OHIO VETERANS HOME,3416 COLUMBUS AVE,SANDUSKY,OH,44870,4196252454,220,Erie,Y,Government - State,427,241.9,,Medicare and Medicaid,N,STATE OF OHIO OFFICE OF BUDGET AND MANAGEMENT STATE ACCOUNTING,2006-10-01,,,,,,,,N,,Y,Y,N,Resident,Yes,4,,2,,5,,5,,5,,5,,,,2.62826,1.47642,0.75931,2.23573,4.86399,4.40459,0.56643,0.01752,36.2,,5.0,,2,,1.23185,0.87251,2.02196,0.74919,0.59795,3.36910,2.98676,2.99081,1.68009,0.86405,5.53494,5.01217,2024-01-11,10,5,5,72,1,0,72,2019-10-24,10,5,5,88,1,0,88,76.000,,0,0.00,0,0,"3416 COLUMBUS AVE,SANDUSKY,OH,44870",41.4196,-82.69,,2026-08-01,0,0,1049554.0,303908.0,1880385.0,1404393.0,,,No,No,2,Midwest
366351,OHIO VETERANS HOME - GEORGETOWN,2003 VETERANS BLVD,GEORGETOWN,OH,45121,9373782900,070,Brown,Y,Government - State,168,97.5,,Medicare and Medicaid,N,STATE OF OHIO OFFICE OF BUDGET AND MANAGEMENT STATE ACCOUNTING,2008-01-01,,,,,,,,N,,N,N,N,Both,Yes,5,,5,,4,,4,,,2,5,,,,3.18415,1.74766,0.67719,2.42485,5.60900,4.90607,0.40536,0.00000,40.5,,33.3,,0,,1.13210,0.80186,1.85822,0.68852,0.54953,3.09627,2.74490,3.94265,2.16397,0.83850,6.94512,6.07475,2026-04-02,0,0,0,0,0,0,0,2023-05-04,4,3,1,20,1,0,20,5.000,0,0,0.00,0,0,"2003 VETERANS BLVD,GEORGETOWN,OH,45121",38.8772,-83.888,,2026-08-01,0,0,595576.0,130392.0,1145512.0,848404.0,,,No,No,2,Midwest
385257,OREGON VETERANS HOME,700 VETERANS DRIVE,THE DALLES,OR,97058,5412967190,320,Wasco,N,Non profit - Corporation,151,110.8,,Medicare and Medicaid,N,STATE OF OREGON DEPARTMENT OF VETERANS AFFAIRS,1998-04-29,,,,,,,,N,,Y,N,N,Resident,Yes,3,,2,,4,,3,,4,,5,,,,3.76314,0.27875,0.99110,1.26985,5.03299,4.30752,0.52005,0.01271,41.2,,25.0,,2,,1.22586,0.86826,2.01212,0.74554,0.59504,3.35270,2.97222,4.30318,0.31875,1.13333,5.75527,4.92568,2025-03-14,6,5,6,44,1,0,44,2023-11-03,3,3,2,12,1,0,12,36.000,,1,13065.00,0,1,"700 VETERANS DRIVE,THE DALLES,OR,97058",45.6004,-121.13,,2026-08-01,0,0,515522.0,54325.0,716678.0,692647.0,,,No,No,2,Pacific
385280,LEBANON VETERANS HOME,600 NORTH 5TH STREET,LEBANON,OR,97355,5414977265,210,Linn,Y,Government - State,154,144.1,,Medicare and Medicaid,N,STATE OF OREGON DEPARTMENT OF VETERANS AFFAIRS,2014-12-26,,,,,,,,N,,Y,N,N,Resident,Yes,3,,2,,3,,3,,,2,5,,,,3.57408,1.45476,0.58293,2.03768,5.61177,4.82993,0.22764,0.01463,35.6,,40.9,,0,,1.28139,0.90760,2.10327,0.77932,0.62199,3.50459,3.10687,3.90987,1.59143,0.63769,6.13899,5.28369,2025-09-09,13,13,0,60,1,0,60,2024-05-03,16,16,2,64,1,0,64,61.000,,0,0.00,0,0,"600 NORTH 5TH STREET,LEBANON,OR,97355",44.5518,-122.91,,2026-08-01,0,0,,,,,,,No,No,4,Pacific
39A433,GINO J MERLI VETERANS CENTER,401 PENN AVENUE,SCRANTON,PA,18503,5709614300,420,Lackawanna,Y,Government - State,196,182.4,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,N,N,N,Both,Yes,5,,4,,5,,5,,,2,5,,,,3.05483,1.29341,1.04991,2.34331,5.39814,4.44035,0.71187,0.03060,30.1,,19.4,,0,,1.18521,0.83947,1.94539,0.72082,0.57530,3.24152,2.87366,3.61304,1.52975,1.24175,6.38454,5.25172,2026-04-10,3,3,0,12,1,0,12,2025-06-06,2,1,1,28,1,0,28,16.000,,0,0.00,0,0,"401 PENN AVENUE,SCRANTON,PA,18503",41.412,-75.664,,2026-08-01,0,0,,,,,,,No,No,4,Northeast
39A434,PENNSYLVANIA SOLDIERS AND SAILORS HOME,560 EAST THIRD ST,ERIE,PA,16512,8148714531,320,Erie,Y,Government - State,107,98.3,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,2,,2,,,2,5,,,,3.37327,0.99869,1.45742,2.45611,5.82938,5.00200,0.88332,0.05178,35.2,,34.2,,0,,1.08047,0.76529,1.77348,0.65712,0.52446,2.95507,2.61971,4.37641,1.29568,1.89083,7.56291,6.48948,2026-03-13,4,4,0,20,1,0,20,2025-03-07,4,4,0,16,1,0,16,19.000,,0,0.00,0,0,"560 EAST THIRD ST,ERIE,PA,16512",42.137,-80.074,,2026-08-01,0,0,,,,,,,No,No,4,Northeast
39A435,SOUTHEASTERN PENNSYLVANIA VETERAN'S CENTER,ONE VETERANS DRIVE,SPRING CITY,PA,19475,6109482400,210,Chester,Y,Government - State,238,198.3,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,N,N,N,Both,Yes,5,,3,,5,,5,,,2,5,,,,3.11023,0.93963,1.41339,2.35302,5.46325,4.60383,1.06725,0.05552,28.2,,25.0,,1,,1.10045,0.77944,1.80628,0.66928,0.53416,3.00972,2.66817,3.96187,1.19692,1.80040,6.95920,5.86445,2025-05-09,6,5,1,68,1,0,68,2024-06-14,3,1,2,28,1,0,28,58.000,,1,15733.00,0,1,"ONE VETERANS DRIVE,SPRING CITY,PA,19475",40.174,-75.572,22,2026-08-01,0,0,,,,,,,No,No,4,Northeast
39A436,DELAWARE VALLEY VETERAN'S HOME,2701 SOUTHAMPTON RD,PHILADELPHIA,PA,19154,2159650301,620,Philadelphia,Y,Government - State,171,162.3,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,Y,N,N,Both,Yes,4,,2,,5,,5,,,2,5,,,,2.45557,0.95474,0.81983,1.77456,4.23013,3.64173,0.45171,0.03894,29.6,,22.6,,0,,1.14343,0.80988,1.87683,0.69542,0.55503,3.12727,2.77238,3.01038,1.17045,1.00505,5.18588,4.46453,2025-07-24,9,6,4,72,1,0,72,2024-10-18,12,6,6,68,1,0,68,71.000,,1,10036.00,0,1,"2701 SOUTHAMPTON RD,PHILADELPHIA,PA,19154",40.114,-74.988,,2026-08-01,0,0,,,,,,,No,No,4,Northeast
39A437,HOLLIDAYSBURG VETERANS HOME,500 MUNICIPAL DR,HOLLIDAYSBURG,PA,16648,8146965356,120,Blair,Y,Government - State,257,187.3,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,Y,N,N,Both,Yes,3,,2,,4,,4,,,2,5,,,,2.43886,1.40397,1.28335,2.68732,5.12618,4.61992,0.83503,0.06733,23.3,,14.5,,0,,1.11097,0.78689,1.82355,0.67568,0.53927,3.03850,2.69368,3.07725,1.77146,1.61927,6.46798,5.82921,2026-06-11,12,6,6,120,1,0,120,2025-06-12,11,11,0,56,1,0,56,104.000,,0,0.00,0,0,"500 MUNICIPAL DR,HOLLIDAYSBURG,PA,16648",40.4357,-78.39,22,2026-08-01,0,0,,,,,,,No,No,4,Northeast
39A438,SOUTHWESTERN VETERANS CENTER,7060 HIGHLAND DRIVE,PITTSBURGH,PA,15206,4126656706,010,Allegheny,Y,Government - State,236,175.4,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,Y,N,N,Resident,Yes,3,,2,,4,,4,,,2,5,,,,2.06025,0.77806,1.43239,2.21044,4.27069,3.69619,1.08072,0.03145,45.8,,26.8,,0,,1.18291,0.83784,1.94162,0.71943,0.57419,3.23524,2.86809,2.44144,0.92202,1.69741,5.06087,4.38008,2026-05-15,8,6,2,64,0,0,64,2025-04-25,23,16,7,195,1,0,195,96.750,,1,245564.00,0,1,"7060 HIGHLAND DRIVE,PITTSBURGH,PA,15206",40.4777,-79.899,,2026-08-01,0,0,,,,,,,No,No,4,Northeast
425301,Richard M Campbell Veterans Nursing Home,4605 Belton Highway,Anderson,SC,29621,8642616734,030,Anderson,Y,Government - State,220,209.7,,Medicare and Medicaid,N,Legal Business Name Not Available,1991-03-13,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,3,,,,2.10592,0.97442,0.34664,1.32106,3.42697,2.75232,0.21325,0.02558,42.1,,28.6,,1,,1.14789,0.81304,1.88413,0.69812,0.55719,3.13945,2.78317,2.57171,1.18994,0.42331,4.18496,3.36109,2025-12-18,0,0,0,0,0,0,0,2024-09-20,3,3,0,12,1,0,12,3.000,,0,0.00,0,0,"4605 Belton Highway,Anderson,SC,29621",34.4762,-82.578,,2026-08-01,0,0,,,,,,,No,No,4,Southeast
