CMS Certification Number (CCN),Facility Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Urban,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date,EVS_Citation_Count,Dietary_Citation_Count,Overall_Rating,Health_Inspection_Rating,HOT_HOT_EVS,HOT_HOT_Dietary,Priority_Sort,Region
295105,NORTHERN NEVADA STATE VETERANS HOME,36 BATTLEBORN WAY,SPARKS,NV,89431,7635375700,150,Washoe,Y,For profit - Corporation,96,93.3,,Medicare and Medicaid,N,DIMENSIONS MANAGEMENT OF NORTHERN NEVADA LLC,2019-07-03,HEALTH DIMENSIONS GROUP,821,10,3.2,2.8,4.0,3.7,N,,Y,N,N,Both,Yes,4,,2,,5,,5,,,2,5,,,,3.36760,0.98543,1.02163,2.00706,5.37466,5.05160,0.69514,0.05298,51.9,,46.9,,1,,1.15468,0.81784,1.89530,0.70226,0.56046,3.15802,2.79964,4.08830,1.19632,1.24027,6.52489,6.13269,2026-04-02,9,9,1,32,1,0,32,2025-03-13,25,11,14,100,1,0,100,49.000,,0,0.00,0,0,"36 BATTLEBORN WAY,SPARKS,NV,89431",39.5481,-119.73,22,2026-07-01,0,0,3.2,2.8,No,No,3,Mountain West
315346,NEW JERSEY VETERANS MEMORIAL HOME AT PARAMUS,1 VETERANS DRIVE,PARAMUS,NJ,07652,2016348212,100,Bergen,Y,Government - State,336,206.0,,Medicare,N,STATE OF NEW JERSEY OMB CENTRALIZED PAYROLL,1995-06-22,,,,,,,,N,,N,N,N,Both,Yes,5,,5,,3,,3,,,2,5,,,,3.55634,0.86677,1.34274,2.20952,5.76586,5.22457,0.93987,0.05135,22.0,,14.5,,1,,1.27241,0.90123,2.08854,0.77386,0.61761,3.48001,3.08509,3.91796,0.95491,1.47928,6.35214,5.75582,2025-04-04,6,4,2,24,1,0,24,2023-01-23,0,0,0,0,0,0,0,18.000,0,0,0.00,0,0,"1 VETERANS DRIVE,PARAMUS,NJ,07652",40.959,-74.063,,2026-07-01,0,0,,,No,No,3,Northeast
315459,NEW JERSEY VETERANS MEMORIAL HOME MENLO,132 EVERGREEN RD,EDISON,NJ,08818,7324524100,270,Middlesex,Y,Government - State,328,185.7,,Medicare,N,NEW JERSEY VETERANS MEMORIAL HOME MENLO PARK,1999-10-26,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,3,,3,,3,,5,,,,3.49542,1.39342,1.13267,2.52609,6.02151,5.79824,0.91245,0.03509,17.0,,24.2,,1,,1.22849,0.87013,2.01645,0.74715,0.59629,3.35989,2.97860,3.98851,1.58999,1.29245,6.87094,6.61617,2025-09-05,9,9,0,36,1,0,36,2024-07-16,0,0,0,0,0,0,0,27.000,0,0,0.00,0,0,"132 EVERGREEN RD,EDISON,NJ,08818",40.5528,-74.332,,2026-07-01,0,0,,,No,No,3,Northeast
315496,NEW JERSEY VETERANS MEMORIAL VINELAND,524 NORTH WEST BLVD,VINELAND,NJ,08360,8564054207,190,Cumberland,Y,Government - State,300,232.2,,Medicare,N,NEW JERSEY MEMORIAL HOME MEMBER'S FUND,2006-05-01,,,,,,,,N,,N,N,N,Both,Yes,3,,2,,3,,4,,3,,5,,,,3.11723,1.19208,0.81659,2.00867,5.12591,4.26589,0.49566,0.02349,32.9,,41.4,,0,,1.11371,0.78883,1.82806,0.67734,0.54058,3.04599,2.70032,3.92354,1.50043,1.02781,6.45178,5.36930,2025-09-19,2,0,2,79,0,0,79,2024-08-30,2,2,0,20,1,0,20,64.250,0,0,0.00,0,0,"524 NORTH WEST BLVD,VINELAND,NJ,08360",39.497,-75.025,,2026-07-01,0,0,,,No,No,3,Northeast
325092,New Mexico State Veterans Home,992 South Broadway,Truth or Consequences,NM,87901,5758944200,250,Sierra,N,Government - State,131,125.9,,Medicare and Medicaid,N,STATE OF NEW MEXICO,1994-01-25,,,,,,,,N,,N,N,N,Resident,Yes,3,,3,,3,,3,,,2,3,,,,4.46645,1.03058,0.52515,1.55573,6.02218,5.49810,0.33669,0.09397,84.1,,66.7,,0,,1.31847,0.93386,2.16415,0.80187,0.63997,3.60599,3.19678,4.74869,1.09570,0.55833,6.40273,5.84553,2024-12-27,13,12,2,136,1,0,136,2023-08-25,23,17,8,156,1,0,156,141.000,,1,44226.00,0,1,"992 South Broadway,Truth or Consequences,NM,87901",33.1227,-107.26,,2026-07-01,0,0,,,No,No,3,Mountain West
335097,N Y S VETERANS HOME,4211 STATE HIGHWAY 220,OXFORD,NY,13830,6078433100,080,Chenango,N,Government - State,242,210.2,,Medicare and Medicaid,N,STATE OF NEW YORK COMPTROLLERS OFFICE,1967-01-01,STATE OF NEW YORK COMPTROLLER'S OFFICE,489,6,4.5,4.7,4.0,4.0,N,,N,N,N,Both,Yes,3,,4,,3,,5,,2,,1,25,25,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-05-16,2,2,0,8,1,0,8,2023-10-06,3,2,2,24,1,0,24,12.000,,0,0.00,0,0,"4211 STATE HIGHWAY 220,OXFORD,NY,13830",42.4528,-75.607,,2026-07-01,0,0,4.5,4.7,No,No,3,Northeast
335289,Soldiers and Sailors Memorial Hospital Extended Ca,418 North Main Street,Penn Yan,NY,14527,3155312730,910,Yates,N,Non profit - Other,152,134.4,,Medicare and Medicaid,N,SOLDIERS & SAILORS MEMORIAL HOSPITAL,1969-06-15,,,,,,,,N,,N,N,N,Resident,Yes,1,,1,,2,,2,,,2,3,,,,2.22853,0.88174,0.45580,1.33754,3.56607,3.20241,0.24755,0.31280,68.3,,66.7,,0,,1.23983,0.87816,2.03508,0.75405,0.60180,3.39092,3.00611,2.51963,0.99692,0.51534,4.03189,3.62072,2024-11-04,6,6,2,149,1,0,149,2022-09-30,4,4,0,4,1,0,4,112.750,,1,21733.00,0,1,"418 North Main Street,Penn Yan,NY,14527",42.6707,-77.06,,2026-07-01,0,0,,,No,No,3,Northeast
335758,Long Island State Veterans Home,100 Patriots Road,Stonybrook,NY,11790,6314448500,700,Suffolk,Y,Government - State,350,310.4,,Medicare and Medicaid,N,STATE OF NEW YORK COMPTROLLERS OFFICE,1992-04-23,STATE OF NEW YORK COMPTROLLER'S OFFICE,489,6,4.5,4.7,4.0,4.0,N,,N,N,N,Both,Yes,5,,5,,2,,4,,1,,5,,,,2.75212,0.66529,1.23739,1.90268,4.65480,4.16029,0.86921,0.08040,24.8,,17.8,,0,,1.40925,0.99816,2.31316,0.85709,0.68403,3.85427,3.41688,2.73754,0.66177,1.23084,4.63015,4.13825,2025-03-11,2,2,0,4,1,0,4,2023-09-01,1,1,0,4,1,0,4,4.000,,0,0.00,0,0,"100 Patriots Road,Stonybrook,NY,11790",40.9065,-73.111,,2026-07-01,0,0,4.5,4.7,No,No,3,Northeast
335770,N Y S VETERANS HOME IN N Y C,178 50 LINDEN BLVD,JAMAICA,NY,11434,7189900329,590,Queens,Y,Government - State,250,216.5,,Medicare and Medicaid,N,STATE OF NEW YORK COMPTROLLERS OFFICE,1994-01-13,STATE OF NEW YORK COMPTROLLER'S OFFICE,489,6,4.5,4.7,4.0,4.0,N,,N,Y,N,Resident,Yes,4,,4,,4,,5,,3,,4,,,,2.84461,0.81990,0.66194,1.48183,4.32644,3.53478,0.42312,0.08758,32.6,,41.4,,,26,1.21027,0.85722,1.98655,0.73607,0.58745,3.31007,2.93444,3.29474,0.94964,0.76668,5.01106,4.09412,2024-05-16,4,3,1,20,1,0,20,2022-04-21,6,1,5,28,1,0,28,22.000,,0,0.00,0,0,"178 50 LINDEN BLVD,JAMAICA,NY,11434",40.677,-73.778,22,2026-07-01,0,0,4.5,4.7,No,No,3,Northeast
335788,Western New York State Veterans Home,220 Richmond Avenue,Batavia,NY,14020,5853452076,290,Genesee,N,Government - State,126,121.0,,Medicare and Medicaid,N,STATE OF NEW YORK COMPTROLLERS OFFICE,1995-08-30,STATE OF NEW YORK COMPTROLLER'S OFFICE,489,6,4.5,4.7,4.0,4.0,N,,N,Y,N,Both,Yes,5,,5,,5,,5,,,2,4,,,,2.19103,0.69544,0.71521,1.41065,3.60168,3.20828,0.39987,0.04450,49.6,,58.3,,,26,1.21146,0.85807,1.98851,0.73679,0.58803,3.31333,2.93732,2.53525,0.80470,0.82757,4.16752,3.71231,2023-11-17,1,1,0,4,1,0,4,2022-02-01,1,0,1,0,0,0,0,3.000,,0,0.00,0,0,"220 Richmond Avenue,Batavia,NY,14020",43.0091,-78.198,,2026-07-01,0,0,4.5,4.7,No,No,3,Northeast
335832,New York State Veterans Home At Montrose,2090 Albany Post Road,Montrose,NY,10548,9147886000,800,Westchester,Y,Government - State,252,200.6,,Medicare,N,STATE OF NEW YORK COMPTROLLERS OFFICE,2001-10-05,,,,,,,,N,,Y,Y,N,Both,Yes,2,,1,,3,,2,,3,,5,,,,2.40008,0.38936,1.15955,1.54891,3.94899,3.38326,0.85853,0.02929,26.5,,27.8,,,26,1.21573,0.86109,1.99551,0.73939,0.59010,3.32499,2.94766,2.76739,0.44895,1.33701,4.55335,3.90104,2023-07-27,12,8,6,80,1,0,80,2019-06-22,9,2,7,72,1,0,72,78.000,,1,29153.00,0,1,"2090 Albany Post Road,Montrose,NY,10548",41.2448,-73.926,,2026-07-01,0,0,,,No,No,3,Northeast
345531,NC State Veterans Home - Salisbury,"1601 Brenner Ave., Building #10",Salisbury,NC,28145,7046384200,790,Rowan,Y,Government - State,99,83.2,,Medicare and Medicaid,N,NC DEPT OF MILITARY AND VETERANS AFFAIRS NC DIVISION OF VETER AFFAIRS,2004-11-22,,,,,,,,N,,N,N,N,Resident,Yes,4,,2,,5,,5,,,2,5,,,,2.79986,0.84669,1.14327,1.98996,4.78982,3.81342,0.52670,0.00000,43.9,,14.3,,0,,1.34883,0.95536,2.21398,0.82034,0.65470,3.68902,3.27038,2.90979,0.87993,1.18816,4.97788,3.96314,2025-12-12,12,12,1,86,1,0,86,2024-08-08,3,3,0,16,1,0,16,68.500,,1,12444.00,0,1,"1601 Brenner Ave., Building #10,Salisbury,NC,28145",35.6613,-80.447,22,2026-07-01,0,0,,,No,No,3,Southeast
345558,NC State Veterans Home - Black Mountain,62 Lake Eden Road,Black Mountain,NC,28711,8282576800,100,Buncombe,Y,For profit - Corporation,100,82.3,,Medicare and Medicaid,N,NC DEPT OF MILTARY AND VETERANS AFFAIRS NC DIVISION OF VETERAN AFF,2013-02-20,PRUITTHEALTH,434,99,2.9,2.8,2.5,3.6,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,,2,5,,,,3.20329,0.76353,1.46484,2.22837,5.43167,4.32615,0.82580,0.04480,45.3,,44.0,,2,,1.33519,0.94570,2.19159,0.81204,0.64808,3.65172,3.23732,3.36307,0.80161,1.53791,5.70259,4.54193,2025-12-04,2,2,0,12,1,0,12,2024-09-05,16,8,10,321,1,0,321,89.250,0,1,12759.00,0,1,"62 Lake Eden Road,Black Mountain,NC,28711",35.6177,-82.371,,2026-07-01,0,0,2.9,2.8,No,No,3,Southeast
345560,NC State Veterans Home-Kinston,2150 Hull Road,Kinston,NC,28504,2529398000,530,Lenoir,N,Government - State,100,91.5,,Medicare and Medicaid,N,NC DEPARTMENT OF MILITARY AND VETERAN AFFAIRS NC DIVISION OF VET,2013-08-08,PRUITTHEALTH,434,99,2.9,2.8,2.5,3.6,N,,Y,N,N,Resident,Yes,1,,1,,3,,4,,1,,4,,,,3.43440,0.70896,0.89366,1.60263,5.03702,4.21263,0.67024,0.03180,37.9,,48.1,,,26,1.22289,0.86616,2.00726,0.74374,0.59357,3.34457,2.96502,3.93683,0.81268,1.02440,5.77390,4.82891,2025-11-14,4,0,4,80,0,0,80,2024-08-22,6,2,4,153,1,0,153,98.250,,5,74987.00,0,5,"2150 Hull Road,Kinston,NC,28504",35.2847,-77.623,,2026-07-01,0,0,2.9,2.8,No,No,3,Southeast
345579,North Carolina State Veterans Home Kernersville,1795 Kernersville Medical Parkway,Kernersville,NC,27284,7432093042,330,Forsyth,Y,Government - State,120,58.0,,Medicare and Medicaid,N,NC DEPT OF MILITARY AND VETERANS AFFAIRS,2024-08-22,PRUITTHEALTH,434,99,2.9,2.8,2.5,3.6,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,4,,,,4.18558,1.85270,1.18999,3.04269,7.22827,6.24218,0.86426,0.00000,,26,,26,,26,1.30509,0.92438,2.14218,0.79374,0.63347,3.56939,3.16433,4.49570,1.98997,1.27816,7.76383,6.70468,2025-12-05,0,0,0,0,0,0,0,2024-08-22,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"1795 Kernersville Medical Parkway,Kernersville,NC,27284",36.1163,-80.092,22,2026-07-01,0,0,2.9,2.8,No,No,3,Southeast
355114,NORTH DAKOTA VETERANS HOME,1600 VETERANS DRIVE,LISBON,ND,58054,7016836500,360,Ransom,N,Government - State,52,49.6,,Medicare and Medicaid,N,NORTH DAKOTA VETERANS HOME,1991-12-02,,,,,,,,N,,N,N,N,,Yes,5,,5,,4,,4,,,2,5,,,,3.44598,0.10873,1.51542,1.62414,5.07012,4.54151,1.06505,0.00319,32.9,,29.4,,0,,1.05169,0.74490,1.72625,0.63962,0.51048,2.87635,2.54993,4.59312,0.14492,2.01988,6.75792,6.05334,2025-08-06,0,0,0,0,0,0,0,2024-06-27,3,2,1,28,1,0,28,7.000,,2,32128.00,0,2,"1600 VETERANS DRIVE,LISBON,ND,58054",46.4153,-97.653,22,2026-07-01,0,0,,,No,No,3,Midwest
366325,OHIO VETERANS HOME,3416 COLUMBUS AVE,SANDUSKY,OH,44870,4196252454,220,Erie,Y,Government - State,427,241.9,,Medicare and Medicaid,N,STATE OF OHIO OFFICE OF BUDGET AND MANAGEMENT STATE ACCOUNTING,2006-10-01,,,,,,,,N,,Y,Y,N,Resident,Yes,4,,2,,5,,5,,5,,5,,,,2.62826,1.47642,0.75931,2.23573,4.86399,4.40459,0.56643,0.01752,36.2,,5.0,,2,,1.23185,0.87251,2.02197,0.74919,0.59792,3.36909,2.98676,2.99083,1.68010,0.86405,5.53498,5.01220,2024-01-11,10,5,5,72,1,0,72,2019-10-24,10,5,5,88,1,0,88,76.000,,0,0.00,0,0,"3416 COLUMBUS AVE,SANDUSKY,OH,44870",41.4196,-82.69,,2026-07-01,0,0,,,No,No,3,Midwest
366351,OHIO VETERANS HOME - GEORGETOWN,2003 VETERANS BLVD,GEORGETOWN,OH,45121,9373782900,070,Brown,Y,Government - State,168,97.5,,Medicare and Medicaid,N,STATE OF OHIO OFFICE OF BUDGET AND MANAGEMENT STATE ACCOUNTING,2008-01-01,,,,,,,,N,,N,Y,N,Resident,Yes,5,,4,,4,,4,,,2,5,,,,3.18415,1.74766,0.67719,2.42485,5.60900,4.90607,0.40536,0.00000,40.5,,33.3,,0,,1.13210,0.80185,1.85824,0.68853,0.54951,3.09627,2.74490,3.94268,2.16398,0.83851,6.94517,6.07479,2023-05-04,3,3,0,12,1,0,12,2020-03-05,15,14,1,96,1,0,96,33.000,0,0,0.00,0,0,"2003 VETERANS BLVD,GEORGETOWN,OH,45121",38.8772,-83.888,,2026-07-01,0,0,,,No,No,3,Midwest
385257,OREGON VETERANS HOME,700 VETERANS DRIVE,THE DALLES,OR,97058,5412967190,320,Wasco,N,Non profit - Corporation,151,110.8,,Medicare and Medicaid,N,STATE OF OREGON DEPARTMENT OF VETERANS AFFAIRS,1998-04-29,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,3,,4,,5,,,,3.76314,0.27875,0.99110,1.26985,5.03299,4.30752,0.52005,0.01271,41.2,,25.0,,2,,1.22586,0.86826,2.01213,0.74555,0.59501,3.35269,2.97222,4.30321,0.31876,1.13334,5.75531,4.92572,2025-03-14,5,5,5,24,1,0,24,2023-11-03,3,3,2,12,1,0,12,21.000,,0,0.00,0,0,"700 VETERANS DRIVE,THE DALLES,OR,97058",45.6004,-121.13,,2026-07-01,0,0,,,No,No,3,Pacific
385280,LEBANON VETERANS HOME,600 NORTH 5TH STREET,LEBANON,OR,97355,5414977265,210,Linn,Y,Government - State,154,144.1,,Medicare and Medicaid,N,STATE OF OREGON DEPARTMENT OF VETERANS AFFAIRS,2014-12-26,,,,,,,,N,,Y,N,N,Resident,Yes,3,,2,,3,,3,,,2,5,,,,3.57408,1.45476,0.58293,2.03768,5.61177,4.82993,0.22764,0.01463,35.6,,40.9,,0,,1.28139,0.90760,2.10329,0.77932,0.62197,3.50458,3.10687,3.90989,1.59144,0.63770,6.13903,5.28373,2025-09-09,13,13,0,60,1,0,60,2024-05-03,16,16,2,64,1,0,64,61.000,,0,0.00,0,0,"600 NORTH 5TH STREET,LEBANON,OR,97355",44.5518,-122.91,,2026-07-01,0,0,,,No,No,3,Pacific
39A433,GINO J MERLI VETERANS CENTER,401 PENN AVENUE,SCRANTON,PA,18503,5709614300,420,Lackawanna,Y,Government - State,196,182.4,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,N,N,N,Both,Yes,5,,4,,5,,5,,,2,5,,,,3.05483,1.29341,1.04991,2.34331,5.39814,4.44035,0.71187,0.03060,30.1,,19.4,,0,,1.18521,0.83947,1.94541,0.72082,0.57528,3.24152,2.87366,3.61306,1.52976,1.24176,6.38458,5.25176,2026-04-10,3,3,0,12,1,0,12,2025-06-06,2,1,1,28,1,0,28,16.000,,0,0.00,0,0,"401 PENN AVENUE,SCRANTON,PA,18503",41.412,-75.664,,2026-07-01,0,0,,,No,No,3,Northeast
39A434,PENNSYLVANIA SOLDIERS AND SAILORS HOME,560 EAST THIRD ST,ERIE,PA,16512,8148714531,320,Erie,Y,Government - State,107,98.3,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,2,,2,,,2,5,,,,3.37327,0.99869,1.45742,2.45611,5.82938,5.00200,0.88332,0.05178,35.2,,34.2,,0,,1.08047,0.76528,1.77349,0.65713,0.52445,2.95506,2.61971,4.37644,1.29569,1.89084,7.56297,6.48953,2026-03-13,4,4,0,20,1,0,20,2025-03-07,4,4,0,16,1,0,16,19.000,,0,0.00,0,0,"560 EAST THIRD ST,ERIE,PA,16512",42.137,-80.074,,2026-07-01,0,0,,,No,No,3,Northeast
39A435,SOUTHEASTERN PENNSYLVANIA VETERAN'S CENTER,ONE VETERANS DRIVE,SPRING CITY,PA,19475,6109482400,210,Chester,Y,Government - State,238,198.3,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,Y,N,N,Both,Yes,4,,2,,5,,5,,,2,5,,,,3.11023,0.93963,1.41339,2.35302,5.46325,4.60383,1.06725,0.05552,28.2,,25.0,,1,,1.10045,0.77944,1.80629,0.66928,0.53414,3.00972,2.66817,3.96190,1.19693,1.80041,6.95924,5.86449,2025-05-09,7,5,2,88,1,0,88,2024-06-14,2,1,1,8,1,0,8,68.000,,1,15733.00,0,1,"ONE VETERANS DRIVE,SPRING CITY,PA,19475",40.174,-75.572,22,2026-07-01,0,0,,,No,No,3,Northeast
39A436,DELAWARE VALLEY VETERAN'S HOME,2701 SOUTHAMPTON RD,PHILADELPHIA,PA,19154,2159650301,620,Philadelphia,Y,Government - State,171,162.3,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,Y,N,N,Both,Yes,4,,2,,5,,5,,,2,5,,,,2.45557,0.95474,0.81983,1.77456,4.23013,3.64173,0.45171,0.03894,29.6,,22.6,,0,,1.14343,0.80988,1.87684,0.69542,0.55501,3.12727,2.77238,3.01040,1.17045,1.00506,5.18591,4.46456,2025-07-24,10,6,5,76,1,0,76,2024-10-18,11,6,5,64,1,0,64,73.000,,1,10036.00,0,1,"2701 SOUTHAMPTON RD,PHILADELPHIA,PA,19154",40.114,-74.988,,2026-07-01,0,0,,,No,No,3,Northeast
39A437,HOLLIDAYSBURG VETERANS HOME,500 MUNICIPAL DR,HOLLIDAYSBURG,PA,16648,8146965356,120,Blair,Y,Government - State,257,187.3,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,Y,N,N,Both,Yes,3,,2,,4,,4,,,2,5,,,,2.43886,1.40397,1.28335,2.68732,5.12618,4.61992,0.83503,0.06733,23.3,,14.5,,0,,1.11097,0.78689,1.82356,0.67568,0.53925,3.03849,2.69368,3.07727,1.77148,1.61928,6.46803,5.82925,2025-06-12,17,11,6,128,1,0,128,2024-07-18,12,12,0,76,1,0,76,115.000,,0,0.00,0,0,"500 MUNICIPAL DR,HOLLIDAYSBURG,PA,16648",40.4357,-78.39,22,2026-07-01,0,0,,,No,No,3,Northeast
39A438,SOUTHWESTERN VETERANS CENTER,7060 HIGHLAND DRIVE,PITTSBURGH,PA,15206,4126656706,010,Allegheny,Y,Government - State,236,175.4,,Medicaid,N,Legal Business Name Not Available,2009-01-01,,,,,,,,N,,Y,N,N,Resident,Yes,3,,2,,4,,4,,,2,5,,,,2.06025,0.77806,1.43239,2.21044,4.27069,3.69619,1.08072,0.03145,45.8,,26.8,,0,,1.18291,0.83784,1.94164,0.71943,0.57417,3.23524,2.86809,2.44146,0.92203,1.69742,5.06091,4.38011,2026-05-15,8,6,2,64,0,0,64,2025-04-25,23,16,7,195,1,0,195,96.750,,1,245564.00,0,1,"7060 HIGHLAND DRIVE,PITTSBURGH,PA,15206",40.4777,-79.899,,2026-07-01,0,0,,,No,No,3,Northeast
425301,Richard M Campbell Veterans Nursing Home,4605 Belton Highway,Anderson,SC,29621,8642616734,030,Anderson,Y,Government - State,220,209.7,,Medicare and Medicaid,N,Legal Business Name Not Available,1991-03-13,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,4,,4,,,2,3,,,,2.10592,0.97442,0.34664,1.32106,3.42697,2.75232,0.21325,0.02558,42.1,,28.6,,1,,1.14789,0.81303,1.88415,0.69813,0.55717,3.13944,2.78317,2.57173,1.18995,0.42331,4.18499,3.36111,2025-12-18,0,0,0,0,0,0,0,2024-09-20,4,3,1,32,1,0,32,8.000,,0,0.00,0,0,"4605 Belton Highway,Anderson,SC,29621",34.4762,-82.578,,2026-07-01,0,0,,,No,No,3,Southeast
425386,Veterans Victory House,2461 Sidney Road,Walterboro,SC,29488,8435383000,140,Colleton,N,Government - State,220,184.2,,Medicare and Medicaid,N,STATE OF SOUTH CAROLINA COMPTROLLER GENERAL,2007-10-03,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,4,,,,2.21945,0.75216,0.63363,1.38579,3.60524,3.09409,0.38518,0.01925,34.6,,36.7,,2,,1.09891,0.77835,1.80376,0.66834,0.53340,3.00550,2.66443,2.83117,0.95946,0.80827,4.59890,3.94687,2026-05-14,0,0,0,0,0,0,0,2025-02-21,1,1,0,16,1,0,16,4.000,0,0,0.00,0,0,"2461 Sidney Road,Walterboro,SC,29488",32.8912,-80.695,22,2026-07-01,0,0,,,No,No,3,Southeast
425419,Veteran Village,1200 E National Cemetery Road,Florence,SC,29506,8434324600,200,Florence,Y,Government - State,52,52.2,,Medicare and Medicaid,N,STATE OF SOUTH CAROLINA COMPTROLLER GENERAL,2023-02-11,,,,,,,,N,,N,N,N,Both,Yes,4,,4,,4,,4,,,2,3,,,,3.21833,1.72707,0.66027,2.38734,5.60568,5.02319,0.35421,0.03610,,26,,26,,26,1.13207,0.80183,1.85819,0.68851,0.54949,3.09618,2.74482,3.98511,2.13855,0.81758,6.94125,6.21998,2026-02-12,0,0,0,0,0,0,0,2024-10-11,6,5,1,56,1,0,56,14.000,,12,47631.00,0,12,"1200 E National Cemetery Road,Florence,SC,29506",34.1836,-79.748,,2026-07-01,0,0,,,No,No,3,Southeast
43A136,Michael J Fitzmaurice South Dakota Veterans Home,2500 MINNEKAHTA AVENUE,HOT SPRINGS,SD,57747,6057455127,230,Fall River,N,Government - State,78,51.9,,Medicaid,N,Legal Business Name Not Available,2011-02-11,,,,,,,,N,,N,N,N,Both,Yes,2,,2,,4,,4,,,2,,2,6,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-05-01,5,5,0,56,2,28,84,2024-02-15,7,6,1,52,1,0,52,76.000,,1,39293.00,0,1,"2500 MINNEKAHTA AVENUE,HOT SPRINGS,SD,57747",43.438,-103.49,,2026-07-01,0,0,,,No,No,3,Midwest
